[start] tuple=6x8 权重内存 512MB | 分钟=600 out=td6_net_latest.bin
[bench] 10 秒实测 1357.4 局/秒（单进程）→ 48866400 局/600分钟
[train] games=1706854 steps=220209172 | 窗口均分 1231 | 平均步 129 | 平均|δ| 43.872 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.8% 64:32.4% 32:3.2% 16:0.1% | 93.1min
[train] games=1732443 steps=223522949 | 窗口均分 1232 | 平均步 130 | 平均|δ| 44.094 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.3% 64:32.9% 32:3.2% 16:0.1% | 94.1min
[train] games=1742840 steps=224860534 | 窗口均分 1221 | 平均步 129 | 平均|δ| 44.177 | max|w| 30.0 | 512:0.0% 256:9.3% 128:54.1% 64:33.4% 32:3.1% 16:0.1% | 95.1min
[train] games=1753007 steps=226172573 | 窗口均分 1227 | 平均步 129 | 平均|δ| 44.133 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.8% 64:32.5% 32:3.3% 16:0.0% | 96.1min
[train] games=1763575 steps=227532073 | 窗口均分 1221 | 平均步 129 | 平均|δ| 44.267 | max|w| 30.0 | 256:9.1% 128:54.9% 64:32.7% 32:3.3% 16:0.1% | 97.1min
[train] games=1774803 steps=228988586 | 窗口均分 1237 | 平均步 130 | 平均|δ| 44.268 | max|w| 30.0 | 512:0.0% 256:10.0% 128:54.3% 64:32.3% 32:3.2% 16:0.1% | 98.1min
[train] games=1788548 steps=230769373 | 窗口均分 1233 | 平均步 130 | 平均|δ| 44.205 | max|w| 30.0 | 512:0.0% 256:9.5% 128:55.1% 64:32.4% 32:2.9% 16:0.1% | 99.1min
[train] games=1804106 steps=232778757 | 窗口均分 1228 | 平均步 129 | 平均|δ| 44.144 | max|w| 30.0 | 512:0.0% 256:9.3% 128:55.3% 64:32.2% 32:3.1% 16:0.1% | 100.1min
[train] games=1820242 steps=234868876 | 窗口均分 1234 | 平均步 130 | 平均|δ| 44.173 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.6% 64:32.2% 32:3.3% 16:0.1% | 101.1min
[train] games=1840383 steps=237472832 | 窗口均分 1230 | 平均步 129 | 平均|δ| 44.451 | max|w| 30.0 | 512:0.0% 256:9.4% 128:55.1% 64:32.4% 32:3.0% 16:0.1% | 102.1min
[train] games=1864951 steps=240637909 | 窗口均分 1224 | 平均步 129 | 平均|δ| 44.432 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.3% 64:33.0% 32:3.2% 16:0.1% | 103.1min
[train] games=1892534 steps=244213880 | 窗口均分 1235 | 平均步 130 | 平均|δ| 44.386 | max|w| 30.0 | 512:0.0% 256:9.7% 128:55.0% 64:32.3% 32:3.0% 16:0.0% | 104.1min
[train] games=1916183 steps=247278706 | 窗口均分 1234 | 平均步 130 | 平均|δ| 44.418 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.7% 64:32.4% 32:3.1% 16:0.1% | 105.1min
[train] games=1926831 steps=248653292 | 窗口均分 1227 | 平均步 129 | 平均|δ| 44.490 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.4% 64:33.1% 32:3.0% 16:0.1% | 106.1min
[train] games=1936886 steps=249949861 | 窗口均分 1224 | 平均步 129 | 平均|δ| 44.532 | max|w| 30.0 | 512:0.0% 256:9.1% 128:54.9% 64:32.5% 32:3.4% 16:0.1% 8:0.0% | 107.1min
[train] games=1946876 steps=251248201 | 窗口均分 1239 | 平均步 130 | 平均|δ| 44.484 | max|w| 30.0 | 512:0.0% 256:10.0% 128:54.5% 64:32.4% 32:3.0% 16:0.1% | 108.1min
[train] games=1957854 steps=252670079 | 窗口均分 1233 | 平均步 130 | 平均|δ| 44.546 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.8% 64:32.5% 32:3.0% 16:0.1% 8:0.0% | 109.1min
